	gene	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed	symbol
1	ENSG00000001167	153.967261066565	133.661675661334	310.190095961241	269	NFYA
2	ENSG00000001630	442.162390755263	485.353035025553	277.37134860698	253	CYP51A1
3	ENSG00000002834	1375.83565337687	1343.25244263908	1916.19137778104	1881	LASP1
4	ENSG00000006534	201.3418029332	262.583575589996	521.923949859699	703	ALDH3B1
5	ENSG00000006607	132.25392937769	145.037137419745	250.904616869673	339	FARP2
6	ENSG00000006634	263.520889133159	250.260158685051	121.746965991613	93	DBF4
7	ENSG00000007202	1012.63083239933	859.795317906594	2050.64237500656	1612	KIAA0100
8	ENSG00000008517	542.833292221863	437.955277698839	182.091114352674	172	IL32
9	ENSG00000009694	266.481797999824	168.736016083102	854.346100480278	688	TENM1
10	ENSG00000010219	129.293020511026	127.025989635594	49.7574556661376	41	DYRK4
11	ENSG00000010404	570.468441644067	563.085357041364	933.746295692199	912	IDS
12	ENSG00000011028	403.670575488622	514.739644568115	1119.01341785335	831	MRC2
13	ENSG00000011465	791.549637021699	697.694987849232	181.032445083181	118	DCN
14	ENSG00000011523	112.514536933259	109.014841851442	279.488687145964	256	CEP68
15	ENSG00000012232	0.98696962222157	1.89591029306857	74.1068488644603	145	EXTL3
16	ENSG00000013441	245.755435933171	304.293602037505	580.150759681775	566	CLK1
17	ENSG00000015532	123.371202777696	129.869855075197	501.809233739345	526	XYLT2
18	ENSG00000023191	19.7393924444314	65.4089051108655	0	0	RNH1
19	ENSG00000023330	310.895430999794	318.512929235519	727.305788141203	650	ALAS1
20	ENSG00000024422	625.738740488475	606.691293781941	1736.21760196735	1253	EHD2
21	ENSG00000024526	684.956917821769	511.895779128513	237.141916366273	111	DEPDC1
22	ENSG00000029993	1254.43838984361	1229.49782505496	490.16387177493	413	HMGB3
23	ENSG00000033627	151.0063521999	198.122625625665	364.182228705348	577	ATP6V0A1
24	ENSG00000034510	3672.51396428646	3658.1589104758	5105.96188676131	5565	TMSB10
25	ENSG00000034693	79.9445393999471	50.241622766317	205.381838281504	188	PEX3
26	ENSG00000035141	200.354833310979	213.289907970214	82.5762030203986	75	FAM136A
27	ENSG00000035499	310.895430999794	275.854947641476	152.44837480689	155	DEPDC1B
28	ENSG00000039123	1237.65990626585	1056.02203323919	663.785631971665	636	MTREX
29	ENSG00000040933	86.8533267554981	104.275066118771	215.968530976427	215	INPP4A
30	ENSG00000041982	990.917500710456	722.341821659123	457.345124420669	452	TNC
31	ENSG00000042445	379.983304555304	279.646768227613	576.974751873298	759	RETSAT
32	ENSG00000044090	209.237559910973	201.914446211802	0	0	CUL7
33	ENSG00000047230	242.794527066506	235.092876340502	71.9895103254757	59	CTPS2
34	ENSG00000047457	54.2833292221863	96.6914249464968	19.0560468508612	9	CP
35	ENSG00000047936	527.041778266318	530.854882059198	294.310056918856	246	ROS1
36	ENSG00000049130	186.537258599877	192.434894746459	421.350369257931	405	KITLG
37	ENSG00000049246	54.2833292221863	40.7620713009741	6.35201561695374	8	PER3
38	ENSG00000049249	77.970600155504	242.676517512776	15.8800390423843	16	TNFRSF9
39	ENSG00000049449	2394.38830350953	2250.44551787239	1692.81216191817	1627	RCN1
40	ENSG00000052802	515.198142799659	553.605805576021	258.315301756119	271	MSMO1
41	ENSG00000054654	847.806905488328	872.11873481154	201.147161203535	248	SYNE2
42	ENSG00000055955	254.638162533165	129.869855075197	67.7548332475065	62	ITIH4
43	ENSG00000056972	298.064825910914	388.661610079056	132.333658686536	144	TRAF3IP2
44	ENSG00000057019	247.729375177614	257.843799857325	1102.07470954147	601	DCBLD2
45	ENSG00000057149	605.012378421822	650.297230522518	7.41068488644603	8	SERPINB3
46	ENSG00000058091	37.5048456444196	47.3977573267141	464.755809307115	85	CDK14
47	ENSG00000061794	354.322094377543	449.33073945725	227.613892940842	193	MRPS35
48	ENSG00000063244	534.937535244091	602.899473195804	872.343478061646	1099	U2AF2
49	ENSG00000065911	1423.2101952435	1464.59070139547	827.87936874297	684	MTHFD2
50	ENSG00000065923	330.634823444226	269.219261615736	779.180582346325	751	SLC9A7
51	ENSG00000066739	72.0487824221746	139.34940654054	296.427395457841	268	ATG2B
52	ENSG00000067225	10937.5973534594	9914.66287760206	24062.4938262902	21121	PKM
53	ENSG00000069020	554.676927688522	330.836346140465	118.570958183136	99	MAST4
54	ENSG00000069974	322.739066466453	278.698813081079	152.44837480689	108	RAB27A
55	ENSG00000070669	648.439041799571	521.375330593855	299.603403266318	209	ASNS
56	ENSG00000070961	345.439367777549	250.260158685051	642.61224658182	501	ATP2B1
57	ENSG00000071539	403.670575488622	514.739644568115	247.728609061196	216	TRIP13
58	ENSG00000071575	315.830279110902	291.970185132559	152.44837480689	123	TRIB2
59	ENSG00000071626	555.663897310744	689.163391530423	374.76892140027	356	DAZAP1
60	ENSG00000071859	330.634823444226	304.293602037505	599.206806532636	547	FAM50A
61	ENSG00000072210	198.380894066535	246.468338098913	602.382814341113	530	ALDH3A2
62	ENSG00000072310	695.813583666207	527.063061473061	1831.49783622166	1233	SREBF1
63	ENSG00000072571	815.236907955016	750.780476055152	336.656827698548	293	HMMR
64	ENSG00000072778	901.103265088293	875.910555397677	2089.81313797778	2272	ACADVL
65	ENSG00000073111	516.185112421881	568.77308792057	286.89937203241	327	MCM2
66	ENSG00000074356	119.42332428881	90.0557389207569	314.42477303921	320	NCBP3
67	ENSG00000074657	426.370876799718	350.743404217685	58.2268098220759	49	ZNF532
68	ENSG00000074695	2561.18616966497	2691.24466101083	1588.00390423843	1495	LMAN1
69	ENSG00000075089	281.286342333147	328.940435847396	136.568335764505	164	ACTR6
70	ENSG00000075151	380.970274177526	294.814050572162	723.071111063234	699	EIF4G3
71	ENSG00000075188	298.064825910914	291.970185132559	151.389705537397	124	NUP37
72	ENSG00000075399	16.7784835777667	17.0631926376171	189.50179923912	44	VPS9D1
73	ENSG00000075826	45.4006026221922	41.7100264475084	187.384460700135	117	SEC31B
74	ENSG00000076382	1098.49718953261	856.951452466991	554.74269721396	375	SPAG5
75	ENSG00000077152	288.195129688698	314.721108649382	139.744343572982	121	UBE2T
76	ENSG00000077235	347.413307021992	469.23779753447	949.626334734584	672	GTF3C1
77	ENSG00000077514	248.716344799836	190.538984453391	81.5175337509063	92	POLD3
78	ENSG00000079246	2226.60346773186	2246.65369728625	1498.01701633159	1107	XRCC5
79	ENSG00000079616	157.915139555451	221.821504289022	25.4080624678149	39	KIF22
80	ENSG00000081154	969.204169021581	1060.76180897186	501.809233739345	497	PCNP
81	ENSG00000081189	653.373889910679	291.970185132559	21.1733853898458	28	MEF2C
82	ENSG00000081237	45.4006026221922	24.6468338098913	1.05866926949229	2	PTPRC
83	ENSG00000082641	944.529928466042	996.300859007531	1942.65810951835	1586	NFE2L1
84	ENSG00000082781	401.696636244179	448.382784310716	828.938038012463	813	ITGB5
85	ENSG00000083857	466.836631310802	572.564908506707	1025.85052213803	1199	FAT1
86	ENSG00000085662	5035.51901257445	5055.44479646733	9380.86839697118	9087	AKR1B1
87	ENSG00000086300	268.455737244267	310.929288063245	125.981643069582	143	SNX10
88	ENSG00000086758	2576.97768362052	2444.77632291192	4039.88193238258	3809	HUWE1
89	ENSG00000087086	10277.3146761932	9591.41017263387	20839.9045699557	20831	FTL
90	ENSG00000087586	623.764801244032	598.159697463132	243.493931983227	231	AURKA
91	ENSG00000087842	439.201481888598	443.643008578044	203.26449974252	193	PIR
92	ENSG00000088325	1271.21687342138	1204.85099124507	671.196316858111	568	TPX2
93	ENSG00000089057	167.784835777667	176.319657255377	417.115692179962	371	SLC23A2
94	ENSG00000089154	1881.16409995431	1782.15567548445	961.271696698999	810	GCN1
95	ENSG00000089159	780.692971177261	654.089051108655	1116.89607931437	1178	PXN
96	ENSG00000089902	192.459076333206	158.308509471225	407.587668754531	389	RCOR1
97	ENSG00000090020	167.784835777667	154.516688885088	296.427395457841	324	SLC9A1
98	ENSG00000090339	254.638162533165	299.553826304833	85.7522108288754	93	ICAM1
99	ENSG00000090470	216.146347266524	287.230409399888	82.5762030203986	73	PDCD7
100	ENSG00000090861	1004.73507542156	861.691228199663	612.969507036036	522	AARS
101	ENSG00000090863	991.904470332677	963.122428878831	1550.9504798062	1546	GLG1
102	ENSG00000091436	1118.23658197704	1088.25250822136	572.740074795329	503	MAP3K20
103	ENSG00000091490	742.20115591062	792.49050250266	421.350369257931	316	SEL1L3
104	ENSG00000092148	277.338463844261	190.538984453391	536.745319632591	731	HECTD1
105	ENSG00000092621	649.426011421793	646.505409936381	272.078002259518	260	PHGDH
106	ENSG00000092820	1023.48749824377	923.308312724391	1526.60108660788	1567	EZR
107	ENSG00000094963	57.244238088851	63.5129948177969	9.52802342543061	6	FMO2
108	ENSG00000095303	515.198142799659	525.167151179993	930.570287883722	933	PTGS1
109	ENSG00000095319	354.322094377543	332.732256433533	598.148137263144	551	NUP188
110	ENSG00000095485	177.654531999883	163.996240350431	77.2828566729371	69	CWF19L1
111	ENSG00000096746	937.621141110491	967.862204611503	567.446728447867	560	HNRNPH3
112	ENSG00000099622	342.478458910885	418.996174768153	605.55882214959	692	CIRBP
113	ENSG00000099840	0.98696962222157	1.89591029306857	33.8774166237533	50	IZUMO4
114	ENSG00000099849	0	0	32.818747354261	68	RASSF7
115	ENSG00000099875	515.198142799659	815.241426019483	1078.78398561264	1606	MKNK2
116	ENSG00000099998	164.823926911002	110.910752144511	50.8161249356299	40	GGT5
117	ENSG00000100075	227.989982733183	316.61701894245	504.985241547822	652	SLC25A1
118	ENSG00000100097	3684.35759975312	3514.06972820259	6094.75898446711	4734	LGALS1
119	ENSG00000100196	260.559980266494	350.743404217685	73.048179594968	80	KDELR3
120	ENSG00000100219	557.637836555187	565.929222480967	226.55522367135	227	XBP1
121	ENSG00000100234	546.78117071075	591.524011437392	911.514241032861	850	TIMP3
122	ENSG00000100342	395.774818510849	291.970185132559	79.4001952119217	86	APOL1
123	ENSG00000100526	292.143008177585	294.814050572162	136.568335764505	123	CDKN3
124	ENSG00000100867	3.94787848888628	5.6877308792057	98.4562420627829	96	DHRS2
125	ENSG00000100897	80.9315090221687	75.8364117227426	0	0	DCAF11
126	ENSG00000100994	1116.2626427326	1080.66886704908	2584.21168683068	2878	PYGB
